Store,avg_sales,avg_fuel_price,avg_temperature
20,2107676.870350,3.417902,55.451399
4,2094712.960699,3.216923,62.253357
14,2020978.400979,3.417902,57.790979
13,2003620.306294,3.286573,53.697133
2,1925751.335524,3.220350,68.216364
10,1899424.572657,3.576154,72.241189
27,1775216.201958,3.579161,57.311119
6,1564728.186294,3.220350,69.700000
1,1555264.397552,3.220350,68.306783
39,1450668.129161,3.220350,70.597343
19,1444999.035664,3.579161,52.295035
31,1395901.437063,3.220350,68.847622
23,1389864.460490,3.442378,48.805105
24,1356755.393566,3.579161,54.030000
11,1356383.124476,3.220350,72.480769
28,1323522.241818,3.606573,70.262797
41,1268125.418811,3.242238,48.410350
32,1166568.154965,3.242238,52.747552
18,1084718.421049,3.442378,53.371259
22,1028501.038951,3.442378,54.897133
12,1009001.609441,3.606573,70.262797
26,1002911.844685,3.442378,43.658252
34,966781.559441,3.216923,58.495874
40,964128.040490,3.442378,47.674545
35,919724.979580,3.417902,57.311119
8,908749.518392,3.220350,62.513986
17,893581.390420,3.286573,46.387203
45,785981.408531,3.417902,57.790979
21,756069.083357,3.220350,68.847622
25,706721.532657,3.417902,52.138392
43,633324.723147,3.220350,68.877692
15,623312.474965,3.579161,51.833846
7,570617.308671,3.242238,39.720280
42,556403.863147,3.576154,72.241189
9,543980.552378,3.220350,67.775175
29,539451.428741,3.442378,54.897133
16,519247.730070,3.242238,45.030070
37,518900.281958,3.220350,71.160350
30,438579.616224,3.220350,68.847622
3,402704.441049,3.220350,71.434196
38,385731.653287,3.606573,70.262797
36,373511.992797,3.204476,71.160350
5,318011.810490,3.220350,69.410140
44,302748.866014,3.286573,53.697133
33,259861.692028,3.576154,76.728182
